Year,Sales,CO2_Emissions,Tesla_Open,Tesla_High,Tesla_Low,Tesla_Close,Tesla_Adj_Close,Tesla_Volume,GDP Deflator,Coal,Distillate,Residual,Kerosene,Propane,Natural Gas,Electricity,Wood,Motor Gasoline,Jet Fuel,Chip_Cost,Electricity_Price
01-01-2011,35526,5449.900033,1.788750335,1.826636,1.747274762,1.788543933,1.788543933,19129889.12,0.830126487,3.506666667,25.6775,16.54333333,26.94,29.1825,9.99,40.555,9.15,29.16,22.77,61.55,0.12975
01-01-2012,106342,5229.594013,2.080207984,2.120610676,2.036392012,2.07790664,2.07790664,18446940,0.847304604,1.576666667,27.2125,17.37333333,28.30333333,24.2,11.8,39.2525,10.19,30.2,23.16,59.51666667,0.129583333
01-01-2013,194204,5361.090748,6.961095226,7.123534389,6.785325373,6.960082,6.960082,126115827.4,0.859716198,1.456666667,26.59,16.4,28.46333333,23.8725,11.7225,39.8475,9.98,29.43,22.15,59.21666667,0.132166667
01-01-2014,237764,5417.285716,14.89435979,15.16332544,14.61374072,14.88860581,14.88860581,103709601.2,0.873662712,1.413333333,25.2125,14.23,28.10666667,25.645,11.545,41.4625,9.73,28.37,20.61,58.75833333,0.137083333
01-01-2015,228046,5267.385812,15.32212965,15.55877781,15.08470898,15.33619307,15.33619307,64774869.05,0.874699113,1.34,17.47,7.706666667,15.90333333,16.8975,9.9875,38.9125,6.71,20.47,11.99,58.375,0.138083333
01-01-2016,319232,5179.779041,14.00389681,14.22889946,13.75241004,13.98448415,13.98448415,69188196.43,0.88573417,1.2,14.215,5.933333333,12.60666667,16.1375,9.165,36.715,5.73,18.13,9.49,57.33333333,0.135166667
01-01-2017,391162,5143.668483,20.95308106,21.23003982,20.64579815,20.95441961,20.95441961,95021796.81,0.904601282,1.36,16.7775,7.716666667,15.83,20.6025,9.2575,37.6375,6.41,20.12,12.21,56.79166667,0.13775
01-01-2018,722630,5295.585047,21.14556442,21.57957512,20.70348743,21.15399467,21.15399467,129181601.6,0.926696922,1.493333333,19.725,10.17,21.62,22.375,9.34,37.4975,7.09,22.23,16,55.96666667,0.13625
01-01-2019,653288,5159.726035,21.980205,22.47440992,21.54661492,22.070205,22.070205,116456653.8,0.943490617,1.14,18.29,9.853333333,20.58,18.23,9.1825,36.5575,6.82,20.97,14.77,55.33333333,0.136333333
